category,canonical_gloss,in_current_v16,current_v16_glosses,citizen_raw_glosses,citizen_lex_codes,popsign_glosses,citizen_train_signers,citizen_val_signers,citizen_test_signers,popsign_train_signers,popsign_val_signers,popsign_test_signers,assumed_local_train_signers,working_train_signers,working_val_signers,working_test_signers,additional_train_signers_needed,additional_val_signers_needed,additional_test_signers_needed,meets_working_20_5_5,requires_variant_audit
actions_and_communication,WAIT,True,WAIT,WAIT,B_02_016,wait,13,4,11,30,8,8,7,50,12,19,0,0,0,True,False
actions_and_communication,TRY,True,TRY,TRY,B_02_034,,14,4,11,0,0,0,7,21,4,11,0,1,0,False,False
actions_and_communication,USE,True,USE,USE,D_03_043,,14,3,11,0,0,0,7,21,3,11,0,2,0,False,False
actions_and_communication,MAKE,False,,MAKE,C_01_032,make,14,4,11,31,8,8,0,45,12,19,0,0,0,True,False
actions_and_communication,FIND,False,,FIND,B_03_076,find,14,4,11,16,5,3,0,30,9,14,0,0,0,True,False
actions_and_communication,LOOK,True,LOOK,,,look,0,0,0,30,6,8,7,37,6,8,0,0,0,True,False
actions_and_communication,SEE,True,SEE,SEE,C_02_030,see,13,3,11,29,8,8,7,49,11,19,0,0,0,True,False
actions_and_communication,HEAR,True,HEAR,HEAR1|HEAR2,E_01_097|J_02_006,hear,14,3,11,25,6,7,7,46,9,18,0,0,0,True,True
actions_and_communication,LISTEN,False,,LISTEN,K_01_117,listen,11,4,11,16,6,6,0,27,10,17,0,0,0,True,False
actions_and_communication,TALK,False,,TALK1|TALK2,C_01_008|H_01_023,talk,17,4,11,31,8,8,0,48,12,19,0,0,0,True,True
actions_and_communication,SAY,True,SAY,,,say,0,0,0,27,7,8,7,34,7,8,0,0,0,True,False
actions_and_communication,TELL,True,TELL,TELL,C_02_013,,15,3,11,0,0,0,7,22,3,11,0,2,0,False,False
actions_and_communication,ASK,True,ASK,ASK,B_02_023,,14,4,11,0,0,0,7,21,4,11,0,1,0,False,False
actions_and_communication,ANSWER,True,ANSWER,ANSWER,E_03_065,,15,3,11,0,0,0,7,22,3,11,0,2,0,False,False
actions_and_communication,LEARN,True,LEARN,LEARN,B_01_042,,15,4,11,0,0,0,7,22,4,11,0,1,0,False,False
actions_and_communication,WORK,True,WORK,WORK,B_03_059,,14,3,11,0,0,0,7,21,3,11,0,2,0,False,False
actions_and_communication,READ,True,READ,READ,A_01_022,read,14,4,11,31,8,8,7,52,12,19,0,0,0,True,False
actions_and_communication,WRITE,True,WRITE,WRITE,D_01_051,,13,3,11,0,0,0,7,20,3,11,0,2,0,False,False
actions_and_communication,DRINK,True,DRINK,DRINK1|DRINK2,B_02_012|K_03_092,drink,17,4,11,31,8,8,7,55,12,19,0,0,0,True,True
actions_and_communication,SLEEP,True,SLEEP,SLEEP,B_03_037,sleep,13,4,11,30,8,8,7,50,12,19,0,0,0,True,False
descriptions_and_states,GOOD,True,GOOD,GOOD,B_01_052,,15,4,11,0,0,0,7,22,4,11,0,1,0,False,False
descriptions_and_states,BAD,True,BAD,BAD,B_02_082,bad,13,4,11,17,2,8,7,37,6,19,0,0,0,True,False
descriptions_and_states,HAPPY,True,HAPPY,HAPPY,C_03_078,happy,13,4,11,31,8,8,7,51,12,19,0,0,0,True,False
descriptions_and_states,SAD,True,SAD,SAD,B_02_053,sad,14,4,10,31,7,8,7,52,11,18,0,0,0,True,False
descriptions_and_states,ANGRY,True,ANGRY,ANGRY,B_01_070,,14,3,11,0,0,0,7,21,3,11,0,2,0,False,False
descriptions_and_states,EXCITED,True,EXCITED,EXCITED,H_01_102,,13,5,11,0,0,0,7,20,5,11,0,0,0,True,False
descriptions_and_states,TIRED,True,TIRED,TIRED,D_02_050,,13,4,11,0,0,0,7,20,4,11,0,1,0,False,False
descriptions_and_states,SICK,False,,SICK,B_01_072,sick,14,4,11,31,8,8,0,45,12,19,0,0,0,True,False
descriptions_and_states,HUNGRY,False,,HUNGRY,C_01_010,hungry,15,4,11,31,8,8,0,46,12,19,0,0,0,True,False
descriptions_and_states,HOT,True,HOT,HOT,F_02_093,hot,13,3,11,31,7,8,7,51,10,19,0,0,0,True,False
descriptions_and_states,COLD,True,COLD,COLD,C_02_068,,13,4,11,0,0,0,7,20,4,11,0,1,0,False,False
descriptions_and_states,BIG,True,BIG,BIG,F_02_054,,15,4,11,0,0,0,7,22,4,11,0,1,0,False,False
descriptions_and_states,SMALL,True,SMALL,SMALL,D_01_030,,13,3,11,0,0,0,7,20,3,11,0,2,0,False,False
descriptions_and_states,MORE,True,MORE,MORE,B_03_032,,15,4,11,0,0,0,7,22,4,11,0,1,0,False,False
descriptions_and_states,LESS,True,LESS,LESS,E_02_043,,13,3,11,0,0,0,7,20,3,11,0,2,0,False,False
descriptions_and_states,SAME,False,,SAME1|SAME2,B_02_009|B_02_013,same,16,4,11,29,8,8,0,45,12,19,0,0,0,True,True
descriptions_and_states,DIFFERENT,True,DIFFERENT,DIFFERENT,E_03_095,,15,4,11,0,0,0,7,22,4,11,0,1,0,False,False
descriptions_and_states,EASY,True,EASY,EASY,D_01_070,,16,3,11,0,0,0,7,23,3,11,0,2,0,False,False
descriptions_and_states,IMPORTANT,True,IMPORTANT,IMPORTANT,B_01_081,,14,3,11,0,0,0,7,21,3,11,0,2,0,False,False
descriptions_and_states,READY,True,READY,READY,F_03_042,,13,3,11,0,0,0,7,20,3,11,0,2,0,False,False
time_and_places,NOW,True,NOW,NOW,C_03_062,now,15,3,11,31,8,8,7,53,11,19,0,0,0,True,False
time_and_places,TOMORROW,True,TOMORROW,TOMORROW,F_02_040,tomorrow,15,3,10,31,8,8,7,53,11,18,0,0,0,True,False
time_and_places,YESTERDAY,True,YESTERDAY,YESTERDAY,D_01_024,yesterday,16,3,11,24,4,4,7,47,7,15,0,0,0,True,False
time_and_places,MORNING,True,MORNING,MORNING,C_02_012,morning,14,4,11,31,7,8,7,52,11,19,0,0,0,True,False
time_and_places,NIGHT,True,NIGHT,NIGHT1|NIGHT2,A_01_003|D_02_047,night,16,5,11,31,8,8,7,54,13,19,0,0,0,True,True
time_and_places,TIME,True,TIME,TIME,B_02_080,time,15,4,11,31,8,8,7,53,12,19,0,0,0,True,False
time_and_places,DAY,True,DAY,DAY,C_01_044,,16,3,10,0,0,0,7,23,3,10,0,2,0,False,False
time_and_places,WEEK,True,WEEK,WEEK,B_02_079,,14,4,11,0,0,0,7,21,4,11,0,1,0,False,False
time_and_places,YEAR,True,YEAR,YEAR,B_02_015,,15,4,11,0,0,0,7,22,4,11,0,1,0,False,False
time_and_places,HOME,False,,HOME,B_03_063,home,14,4,11,31,8,8,0,45,12,19,0,0,0,True,False
time_and_places,SCHOOL,True,SCHOOL,SCHOOL,C_03_089,,16,3,11,0,0,0,7,23,3,11,0,2,0,False,False
time_and_places,HOSPITAL,True,HOSPITAL,HOSPITAL1|HOSPITAL2,B_02_026|J_02_022,,16,4,11,0,0,0,7,23,4,11,0,1,0,False,True
time_and_places,DOCTOR,True,DOCTOR,DOCTOR1|DOCTOR2,A_03_020|K_03_015,,16,4,11,0,0,0,7,23,4,11,0,1,0,False,True
people_and_family,FAMILY,True,FAMILY,FAMILY,C_01_025,,15,3,10,0,0,0,7,22,3,10,0,2,0,False,False
people_and_family,FRIEND,True,FRIEND,FRIEND,D_03_010,,15,3,11,0,0,0,7,22,3,11,0,2,0,False,False
people_and_family,MOTHER,True,MOTHER,MOTHER,B_02_008,mom,14,3,11,31,8,8,7,52,11,19,0,0,0,True,False
people_and_family,FATHER,True,FATHER,FATHER,B_01_077,dad,14,3,10,31,8,8,7,52,11,18,0,0,0,True,False
people_and_family,CHILD,True,CHILD,CHILD,F_03_101,child,14,3,10,28,7,7,7,49,10,17,0,0,0,True,False
people_and_family,MAN,True,MAN,MAN,C_01_040,man,15,4,11,31,7,7,7,53,11,18,0,0,0,True,False
people_and_family,WOMAN,True,WOMAN,WOMAN1|WOMAN2,C_02_028|K_01_101,,16,4,11,0,0,0,7,23,4,11,0,1,0,False,True
language,NAME,True,NAME,NAME,D_01_021,,14,4,11,0,0,0,7,21,4,11,0,1,0,False,False
language,SIGN,True,SIGN,SIGN,E_03_050,,13,4,11,0,0,0,7,20,4,11,0,1,0,False,False
language,LANGUAGE,True,LANGUAGE,LANGUAGE,A_01_067,,14,4,11,0,0,0,7,21,4,11,0,1,0,False,False
