canonical_label,citizen_raw_gloss,citizen_asl_lex_code,match_tier,clips,participants,top1_hits,top5_hits,mean_true_probability,triage,training_approved
IMPORTANT,IMPORTANT,B_01_081,pinned_raw_gloss_exact,8,8,4,4,0.36087255575694144,ambiguous_manual_variant_review_required,False
LANGUAGE,LANGUAGE,A_01_067,pinned_raw_gloss_exact,4,4,2,3,0.3121928625041619,ambiguous_manual_variant_review_required,False
LEARN,LEARN,B_01_042,pinned_raw_gloss_exact,7,7,4,6,0.4994025332853198,model_consistent_manual_variant_review_required,False
LESS,LESS,E_02_043,pinned_raw_gloss_exact,7,7,4,6,0.40790170670620035,model_consistent_manual_variant_review_required,False
LIKE,LIKE,F_03_063,pinned_raw_gloss_exact,8,7,2,3,0.0957957663340494,high_risk_manual_variant_review_required,False
LOVE,LOVE,G_01_068,pinned_raw_gloss_exact,10,7,6,7,0.48300956199527717,ambiguous_manual_variant_review_required,False
MAKE,MAKE,C_01_032,pinned_raw_gloss_exact,7,7,5,6,0.4529519898018667,model_consistent_manual_variant_review_required,False
MAN,MAN,C_01_040,pinned_raw_gloss_exact,10,9,1,6,0.14409789454657584,ambiguous_manual_variant_review_required,False
MORNING,MORNING,C_02_012,pinned_raw_gloss_exact,5,5,4,5,0.6171636164188385,model_consistent_manual_variant_review_required,False
NAME,NAME,D_01_021,pinned_raw_gloss_exact,3,3,2,3,0.4597944418589274,model_consistent_manual_variant_review_required,False
NIGHT,NIGHT1,A_01_003,canonical_label_only,11,9,5,10,0.2773843179033561,ambiguous_manual_variant_review_required,False
NOW,NOW,C_03_062,pinned_raw_gloss_exact,5,5,4,5,0.5772266373038292,model_consistent_manual_variant_review_required,False
READ,READ,A_01_022,pinned_raw_gloss_exact,3,3,1,1,0.24955827261631688,high_risk_manual_variant_review_required,False
READY,READY,F_03_042,pinned_raw_gloss_exact,4,4,1,2,0.08588360826252028,ambiguous_manual_variant_review_required,False
SAD,SAD,B_02_053,pinned_raw_gloss_exact,5,5,5,5,0.68804731965065,model_consistent_manual_variant_review_required,False
SAME,SAME1,B_02_009,canonical_label_only,1,1,0,0,0.01164619717746973,high_risk_manual_variant_review_required,False
SEE,SEE,C_02_030,pinned_raw_gloss_exact,1,1,0,1,0.031245483085513115,ambiguous_manual_variant_review_required,False
SICK,SICK,B_01_072,pinned_raw_gloss_exact,1,1,0,1,0.24247011542320251,ambiguous_manual_variant_review_required,False
SLEEP,SLEEP,B_03_037,pinned_raw_gloss_exact,1,1,0,0,0.0036626376677304506,high_risk_manual_variant_review_required,False
STOP,STOP,D_01_010,pinned_raw_gloss_exact,2,2,0,2,0.17230127938091755,ambiguous_manual_variant_review_required,False
TAKE,TAKE,G_01_093,pinned_raw_gloss_exact,2,2,0,1,0.02507482818327844,ambiguous_manual_variant_review_required,False
TALK,TALK1,C_01_008,canonical_label_only,1,1,0,1,0.0333191454410553,ambiguous_manual_variant_review_required,False
THINK,THINK,C_03_053,pinned_raw_gloss_exact,7,7,2,7,0.19756533418382918,ambiguous_manual_variant_review_required,False
TIRED,TIRED,D_02_050,pinned_raw_gloss_exact,5,5,3,5,0.4549976885318756,model_consistent_manual_variant_review_required,False
TOMORROW,TOMORROW,F_02_040,pinned_raw_gloss_exact,7,6,1,1,0.04147403560844915,high_risk_manual_variant_review_required,False
TRY,TRY,B_02_034,pinned_raw_gloss_exact,4,3,2,2,0.17766607808880508,ambiguous_manual_variant_review_required,False
UNDERSTAND,UNDERSTAND,C_01_006,pinned_raw_gloss_exact,9,7,0,2,0.025832035164866183,high_risk_manual_variant_review_required,False
WAIT,WAIT,B_02_016,pinned_raw_gloss_exact,3,3,1,2,0.18879897333681583,ambiguous_manual_variant_review_required,False
WANT,WANT1,E_01_025,canonical_label_only,4,3,1,2,0.1473669542465359,ambiguous_manual_variant_review_required,False
WATER,WATER,A_02_031,pinned_raw_gloss_exact,1,1,0,0,0.0004868896212428808,high_risk_manual_variant_review_required,False
WHEN,WHEN,C_03_086,pinned_raw_gloss_exact,2,2,2,2,0.6462424695491791,model_consistent_manual_variant_review_required,False
WHERE,WHERE,B_02_035,pinned_raw_gloss_exact,4,4,0,0,0.0005983949595247395,high_risk_manual_variant_review_required,False
WHO,WHO,C_01_041,pinned_raw_gloss_exact,3,3,0,0,0.0024166369112208486,high_risk_manual_variant_review_required,False
WHY,WHY,D_01_067,pinned_raw_gloss_exact,1,1,0,0,0.009265783242881298,high_risk_manual_variant_review_required,False
WOMAN,WOMAN1,C_02_028,canonical_label_only,4,4,0,3,0.11373148718848825,ambiguous_manual_variant_review_required,False
WORK,WORK,B_03_059,pinned_raw_gloss_exact,1,1,1,1,0.6473996043205261,ambiguous_manual_variant_review_required,False
WRITE,WRITE,D_01_051,pinned_raw_gloss_exact,1,1,0,0,0.010379189625382423,high_risk_manual_variant_review_required,False
YEAR,YEAR,B_02_015,pinned_raw_gloss_exact,3,3,3,3,0.6943921347459158,model_consistent_manual_variant_review_required,False
YESTERDAY,YESTERDAY,D_01_024,pinned_raw_gloss_exact,6,6,1,1,0.06066418446910878,high_risk_manual_variant_review_required,False
