gloss,text
YESTERDAY CHILD DRIVE_CAR BUS,"Yesterday, the child drove the bus."
FAMILY NOT KNOW PROBLEM,The family do not know the problem.
MORNING I NEED MARKET,"In the morning, I need the market."
AFTERNOON DOCTOR DRINK MEDICINE,"In the afternoon, the doctor is drinking some medicine."
NOW WE RETURN MARKET,"Now, we are returning to the market."
AFTERNOON THEY CLIMB BANK,"In the afternoon, they are climbing to the bank."
HE NOT LIKE PHONE,He does not like the phone.
NOW WE PLAY NAME,"Now, we play the name."
GROUP NOT SEE HAND,The group do not see the hand.
MORNING WORKER BORROW QUESTION,"In the morning, the worker is borrowing the question."
TOMORROW WOMAN PLAY HAND,"Tomorrow, the woman will play the hand."
MORNING HE DO HOUSE,"In the morning, he dos the house."
AFTERNOON FAMILY PROGRAM LAPTOP,"In the afternoon, the family are programming the laptop."
I DONT WANT,I don't want to.
TOMORROW MORNING I WANT GO MARKET LEARN DESIGN,"Tomorrow morning, I want to go to the market and learn the design."
TEAM NOT UNDERSTAND COMPUTER,The team do not understand the computer.
TOMORROW STUDENT FEEL SICK,"Tomorrow, the student will feel sick."
BROTHER NOT LIKE HOUSE,The brother does not like the house.
MORNING WE CLIMB HOSPITAL,"In the morning, we are climbing to the hospital."
YESTERDAY DOCTOR HEAR CODE,"Yesterday, the doctor heard the code."
YOU NOT KNOW HOSPITAL,You do not know the hospital.
I NOT UNDERSTAND INTERNET,I do not understand the internet.
MORNING HE LEARN SOLUTION,"In the morning, he is learning the solution."
NIGHT MAN PROGRAM DESIGN,"At night, the man is programming the design."
YESTERDAY WORKER SHOW POLICE,"Yesterday, the worker showed the police."
YESTERDAY I GO OFFICE GET PROGRAM COME HOME,"Yesterday, I went to the office, got the program, and came home."
YESTERDAY DOCTOR RUN CITY,"Yesterday, the doctor ran to the city."
TOMORROW TEACHER SHARE SIGN,"Tomorrow, the teacher will share the sign."
TEAM NOT WANT MODEL,The team do not want the model.
NIGHT CHILD DRIVE_CAR TRAIN,"At night, the child is driving the train."
MORNING CHILD INSTALL MODEL,"In the morning, the child is installing the model."
NOW STUDENT ARRIVE MARKET,"Now, the student is arriving at the market."
WE FEEL NERVOUS YOU-KNOW,Are we feeling nervous?
BABY NOT KNOW INTERNET,The baby does not know the internet.
NOW BABY START PARK,"Now, the baby starts the park."
NIGHT POLICE DRINK COFFEE,"At night, the police are drinking some coffee."
YESTERDAY FAMILY DRINK MEDICINE,"Yesterday, the family drank some medicine."
TOMORROW MAN VISIT STORE,"Tomorrow, the man will visit the store."
DOCTOR NOT KNOW OFFICE,The doctor does not know the office.
NOW SHE SAY DATA,"Now, she is saying the data."
WE NOT HAVE LANGUAGE,We do not have the language.
TOMORROW WE TAKE SOLUTION,"Tomorrow, we will take the solution."
AFTERNOON WE FEEL ANGRY,"In the afternoon, we are feeling angry."
SISTER NOT KNOW ROAD,The sister does not know the road.
NIGHT CHILD RUN RESTAURANT,"At night, the child is running to the restaurant."
I FEEL HAPPY YOU-KNOW,Am I feeling happy?
BROTHER NOT UNDERSTAND SIGN,The brother does not understand the sign.
YESTERDAY MAN COME STORE,"Yesterday, the man came to the store."
LAPTOP WHERE,Where is the laptop?
YESTERDAY TEAM FEEL SORRY,"Yesterday, the team felt sorry."
NIGHT STUDENT PUSH PART,"At night, the student is pushing the part."
GROUP NOT NEED TIME,The group do not need the time.
THEY NOT HAVE CITY,They do not have the city.
NIGHT CHILD DRINK WATER,"At night, the child is drinking some water."
PLEASE HELP ME I NEED KEY FOR SENTENCE,"Please help me, I need the key for the sentence."
MORNING SHE WRITE NAME,"In the morning, she is writing the name."
STOP,Stop.
THEY WANT QUESTION YOU-KNOW,Do they want the question?
YESTERDAY I GO HOSPITAL FIND DESIGN COME HOME,"Yesterday, I went to the hospital, found the design, and came home."
POLICE NOT SEE BANK,The police do not see the bank.
BABY NOT NEED HOSPITAL,The baby does not need the hospital.
I LIKE GRADE YOU-KNOW,Do I like the grade?
TOMORROW MORNING I WANT GO SCHOOL STUDY SENTENCE,"Tomorrow morning, I want to go to the school and study the sentence."
YESTERDAY SHE EAT_FOOD FOOD,"Yesterday, she ate the food."
BABY NOT KNOW ROOM,The baby does not know the room.
MORNING CHILD FEEL SORRY,"In the morning, the child is feeling sorry."
MORNING BROTHER CALL GROUP,"In the morning, the brother is calling the group."
MORNING WORKER WALK PARK,"In the morning, the worker is walking to the park."
MORNING MAN DOWNLOAD PHONE,"In the morning, the man is downloading the phone."
PLEASE HELP ME I NEED HAND FOR KEY,"Please help me, I need the hand for the key."
MORNING POLICE COME STORE,"In the morning, the police are coming to the store."
TOMORROW HE CARRY INTERNET,"Tomorrow, he will carry the internet."
AFTERNOON YOU TAKE VIDEO,"In the afternoon, you are taking the video."
AFTERNOON WORKER COOK FOOD,"In the afternoon, the worker is cooking the food."
FATHER NOT SEE APP,The father does not see the app.
PLEASE HELP ME I NEED ENGLISH FOR PROJECT,"Please help me, I need the english for the project."
AFTERNOON TEACHER FEEL COLD,"In the afternoon, the teacher is feeling cold."
YESTERDAY BABY FEEL EXCITED,"Yesterday, the baby felt excited."
THEY HAVE DATA YOU-KNOW,Do they have the data?
TOMORROW POLICE BRING TRAIN,"Tomorrow, the police will bring the train."
NIGHT BABY UPLOAD VIDEO,"At night, the baby is uploading the video."
TOMORROW MORNING I WANT GO CITY READ SIGN,"Tomorrow morning, I want to go to the city and read the sign."
TOMORROW FAMILY FEEL SORRY,"Tomorrow, the family will feel sorry."
PLEASE SHOW ME SYSTEM,Please show me the system.
MAN NOT NEED BOOK,The man does not need the book.
STUDENT NOT SEE COMPANY,The student does not see the company.
TEACHER NOT LIKE STORE,The teacher does not like the store.
FAMILY NOT UNDERSTAND COMPUTER,The family do not understand the computer.
BROTHER NOT HAVE VIDEO,The brother does not have the video.
PLEASE HELP ME I NEED LAPTOP FOR PROBLEM,"Please help me, I need the laptop for the problem."
TOMORROW BROTHER TEACH LETTER,"Tomorrow, the brother will teach the letter."
FRIEND NOT NEED CODE,The friend does not need the code.
NIGHT CHILD LOGIN COMPUTER,"At night, the child is logining the computer."
MOTHER NOT UNDERSTAND IDEA,The mother does not understand the idea.
NOW WE FEEL NERVOUS,"Now, we are feeling nervous."
YESTERDAY BOSS DRIVE_CAR BUS,"Yesterday, the boss drove the bus."
NOW GROUP CLEAN PHONE,"Now, the group are cleaning the phone."
TOMORROW I HELP TEACHER,"Tomorrow, I will help the teacher."
TOMORROW MORNING I WANT GO PLACE STUDY LETTER,"Tomorrow morning, I want to go to the place and study the letter."
TEAM NOT HAVE BANK,The team do not have the bank.
YESTERDAY FATHER BUILD HAND,"Yesterday, the father built the hand."
WHY HE LEAVE,Why is he leaveing?
WE NOT NEED ROOM,We do not need the room.
WOMAN NOT WANT BAG,The woman does not want the bag.
BABY NOT SEE OFFICE,The baby does not see the office.
TOMORROW YOU LOVE WORD,"Tomorrow, you will love the word."
FAMILY NOT NEED HOUSE,The family do not need the house.
SPELL U,U.
NIGHT BABY FEEL SAD,"At night, the baby is feeling sad."
YESTERDAY I GO STORE BUY LAPTOP COME HOME,"Yesterday, I went to the store, bought the laptop, and came home."
SPELL O,O.
BROTHER NOT NEED TIME,The brother does not need the time.
AFTERNOON DOCTOR DRIVE_CAR DRIVE_CAR,"In the afternoon, the doctor is driving the drive_car."
PLEASE HELP ME I NEED BOOK FOR MEETING,"Please help me, I need the book for the meeting."
TOMORROW TEAM PRACTICE PASSWORD,"Tomorrow, the team will practice the password."
MORNING MAN DO TIME,"In the morning, the man dos the time."
MORNING POLICE FEEL SAD,"In the morning, the police are feeling sad."
TOMORROW SHE FEEL SICK,"Tomorrow, she will feel sick."
MORNING TEAM COOK FOOD,"In the morning, the team are cooking the food."
NOW SHE FEEL SORRY,"Now, she is feeling sorry."
NOW CHILD MAKE_CREATE PROJECT,"Now, the child is making the project."
MORNING MAN DRIVE_CAR DRIVE_CAR,"In the morning, the man is driving the drive_car."
NOW YOU FEEL SORRY,"Now, you are feeling sorry."
TOMORROW SHE CLOSE APP,"Tomorrow, she will close the app."
YESTERDAY I GO COUNTRY SEE LETTER COME HOME,"Yesterday, I went to the country, saw the letter, and came home."
MORNING FATHER FEEL SCARED,"In the morning, the father is feeling scared."
AFTERNOON THEY RETURN BANK,"In the afternoon, they are returning to the bank."
YESTERDAY FATHER CLOSE SENTENCE,"Yesterday, the father closed the sentence."
TOMORROW MORNING I WANT GO MARKET LEARN BOOK,"Tomorrow morning, I want to go to the market and learn the book."
DOCTOR NOT UNDERSTAND CITY,The doctor does not understand the city.
BABY NOT UNDERSTAND COMPUTER,The baby does not understand the computer.
AFTERNOON WOMAN GIVE APP,"In the afternoon, the woman is giving the app."
MORNING BROTHER DRIVE_CAR BIKE,"In the morning, the brother is driving the bike."
TOMORROW MORNING I WANT GO CITY LEARN HAND,"Tomorrow morning, I want to go to the city and learn the hand."
YESTERDAY I GO HOSPITAL BUY INTERNET COME HOME,"Yesterday, I went to the hospital, bought the internet, and came home."
FATHER NOT UNDERSTAND SCHOOL,The father does not understand the school.
AFTERNOON WOMAN FIND CHILD,"In the afternoon, the woman is finding the child."
BABY NOT UNDERSTAND QUESTION,The baby does not understand the question.
TOMORROW MORNING I WANT GO CITY LEARN PROBLEM,"Tomorrow morning, I want to go to the city and learn the problem."
YESTERDAY I GO OFFICE GET INTERNET COME HOME,"Yesterday, I went to the office, got the internet, and came home."
