canonical_label,citizen_raw_gloss,citizen_asl_lex_code,asllex_entry_id,clips,signers,top1_hits,top5_hits,mean_true_probability,triage,training_approved
NO,NO,C_03_041,no,16,16,13,13,0.5669695276592392,model_consistent,False
NOW,NOW,C_03_062,now,13,13,11,13,0.6834240349439474,model_consistent,False
OUR,OUR,G_02_067,our,7,7,6,6,0.6975111712568572,model_consistent,False
PLEASE,PLEASE,B_02_007,please,8,8,6,8,0.5814971625804901,model_consistent,False
READ,READ,A_01_022,read,23,23,17,20,0.5629065827992947,model_consistent,False
READY,READY,F_03_042,ready,10,10,9,10,0.6567975014448166,model_consistent,False
SAD,SAD,B_02_053,sad,22,22,19,21,0.6430357603398575,model_consistent,False
SAME,SAME1,B_02_009,same_1,19,19,11,16,0.41281250185382207,model_consistent,False
SCHOOL,SCHOOL,C_03_089,school,25,25,23,23,0.7204481630586088,model_consistent,False
SEE,SEE,C_02_030,see,19,19,17,18,0.7157575036153981,model_consistent,False
SICK,SICK,B_01_072,sick,25,25,20,23,0.6630979749932885,model_consistent,False
SIGN,SIGN,E_03_050,sign,9,9,6,8,0.6104821455923634,model_consistent,False
SLEEP,SLEEP,B_03_037,sleep,25,25,17,24,0.5062694530189037,model_consistent,False
SMALL,SMALL,D_01_030,small,21,21,17,18,0.6398061058107054,model_consistent,False
SORRY,SORRY,C_01_020,sorry,12,12,9,11,0.6315191650064662,model_consistent,False
STOP,STOP,D_01_010,stop,18,18,12,15,0.42383347619842326,model_consistent,False
TAKE,TAKE,G_01_093,take,10,10,2,3,0.16531929820775987,mismatch_review_priority,False
TALK,TALK1,C_01_008,talk,10,10,4,8,0.35981213136110457,cross_domain_ambiguous,False
TELL,TELL,C_02_013,tell,9,9,6,8,0.5919014977084266,model_consistent,False
THANKYOU,THANKYOU,H_02_053,thank_you,18,18,3,17,0.26961951731290257,cross_domain_ambiguous,False
THINK,THINK,C_03_053,think,12,12,11,12,0.7207260293265184,model_consistent,False
TIME,TIME,B_02_080,time,21,21,20,20,0.7125432594856691,model_consistent,False
TIRED,TIRED,D_02_050,tired,21,21,14,18,0.5694533797768166,model_consistent,False
TOMORROW,TOMORROW,F_02_040,tomorrow,13,13,10,12,0.6200104742042291,model_consistent,False
TRY,TRY,B_02_034,try,5,5,2,5,0.4508053660392761,cross_domain_ambiguous,False
UNDERSTAND,UNDERSTAND,C_01_006,understand,18,18,14,17,0.6644971587488221,model_consistent,False
USE,USE,D_03_043,use,8,8,3,6,0.3111375681764912,cross_domain_ambiguous,False
WAIT,WAIT,B_02_016,wait,22,22,17,20,0.6117456322112544,model_consistent,False
WANT,WANT1,E_01_025,want_2,5,5,3,4,0.4831019349396229,model_consistent,False
WATER,WATER,A_02_031,water,25,25,21,22,0.6873683024011552,model_consistent,False
WE,WE,G_03_019,we,6,6,5,5,0.6879850342229474,model_consistent,False
WEEK,WEEK,B_02_079,week,14,14,11,12,0.6248351922258735,model_consistent,False
WHAT,WHAT1,D_02_094,what_2,4,4,2,4,0.48997940495610237,model_consistent,False
WHEN,WHEN,C_03_086,when,10,10,9,9,0.7884157840162516,model_consistent,False
WHERE,WHERE,B_02_035,where,19,19,13,15,0.5209241774313054,cross_domain_ambiguous,False
WHO,WHO,C_01_041,who,15,15,11,14,0.558422310448562,model_consistent,False
WHY,WHY,D_01_067,why,11,11,3,8,0.2809079358015548,cross_domain_ambiguous,False
WOMAN,WOMAN1,C_02_028,woman,20,20,14,18,0.5585087176994421,model_consistent,False
WORK,WORK,B_03_059,work,26,26,23,24,0.6939954574515398,model_consistent,False
WRITE,WRITE,D_01_051,write,24,24,15,21,0.5195405380121277,model_consistent,False
YEAR,YEAR,B_02_015,year,11,11,8,11,0.651069543578408,model_consistent,False
YES,YES,G_03_074,yes,14,14,12,14,0.7070460287587983,model_consistent,False
YESTERDAY,YESTERDAY,D_01_024,yesterday,11,11,8,10,0.6165212426673282,model_consistent,False
YOU,YOU,D_02_065,you,14,14,6,12,0.3407295535185507,cross_domain_ambiguous,False
YOUR,YOUR,F_01_052,your,9,9,7,8,0.5798756738917695,model_consistent,False
